year,make,model,hpv,Efficiency_km/L
2016,Mazda,6,0,12.75431121
2016,Mazda,6,0,13.604598624
2016,Mazda,6,0,12.329167502999999
2016,Kia,Sorento FE AWD,0,8.928017847
2016,Kia,Sorento FWD,0,9.778305261
2016,Kia,Sorento FWD,0,10.203448968
2016,Kia,Sorento FWD,0,8.50287414
2016,Mazda,CX-5 2WD,0,12.329167502999999
2016,Mazda,CX-5 2WD,0,12.329167502999999
2016,Kia,Sorento AWD,0,8.928017847
2016,Kia,Sorento AWD,0,9.353161554
2016,Kia,Sorento AWD,0,8.077730433
2016,Mazda,CX-5 4WD,0,11.053736382
2016,Audi,A7 quattro,94,10.203448968
2016,Audi,A6 quattro,0,10.203448968
2016,Honda,HR-V 2WD,0,11.904023795999999
2016,Honda,HR-V 2WD,0,13.179454917
2016,Honda,HR-V 2WD,0,13.179454917
2016,Honda,HR-V 4WD,0,12.329167502999999
2016,Honda,HR-V 4WD,0,12.329167502999999
2016,Jaguar,F-Type Coupe,0,9.353161554
2016,Jaguar,F-Type Convertible,0,9.353161554
2016,Jaguar,F-Type S Coupe,0,9.353161554
2016,Jaguar,F-Type S Convertible,0,9.353161554
2016,Bentley,Mulsanne,0,5.952011897999999
2016,Hyundai,Veloster,0,13.179454917
2016,Hyundai,Veloster,0,12.75431121
2016,Hyundai,Elantra GT,96,11.478880088999999
2016,Mitsubishi,i-MiEV,85,47.616095183999995
2016,Jaguar,F-Type S AWD Coupe,0,8.928017847
2016,Jaguar,F-Type S AWD Convertible,0,8.928017847
2016,Acura,ILX,0,12.329167502999999
2016,Hyundai,Elantra GT,96,11.478880088999999
2016,Jaguar,F-Type R Convertible,0,7.652586726
2016,Jaguar,F-Type R AWD Coupe,0,7.652586726
2016,Jaguar,F-Type R AWD Convertible,0,7.652586726
2016,Jaguar,XJ,0,7.652586726
2016,Jaguar,XJL,0,7.652586726
2016,Acura,RLX,0,9.778305261
2016,Acura,RLX Hybrid,0,12.75431121
2016,Nissan,GT-R,0,8.077730433
2016,Hyundai,Veloster,0,12.329167502999999
2016,Hyundai,Veloster,0,11.904023795999999
2016,Audi,A6 quattro,0,12.75431121
2016,Hyundai,Equus,0,7.652586726
2016,Kia,Sedona,0,8.50287414
2016,Kia,Sedona SX,0,8.928017847
2016,Kia,Sedona SXL,0,8.077730433
2016,Porsche,Cayenne,0,8.50287414
2016,BMW,Z4 sDrive28i,0,11.053736382
2016,BMW,Z4 sDrive28i,0,11.053736382
2016,BMW,Z4 sDrive35i,0,8.077730433
2016,BMW,Z4 sDrive35is,0,8.077730433
2016,BMW,640i Coupe,0,10.203448968
2016,Kia,Rio Eco,89,13.179454917
2016,Kia,Rio,89,12.75431121
2016,Kia,Rio,89,13.179454917
2016,Porsche,Macan S,0,8.077730433
2016,Porsche,Cayenne S,0,8.077730433
2016,Porsche,Cayenne GTS,0,7.652586726
2016,Nissan,370Z,0,8.928017847
2016,Nissan,370Z,0,8.928017847
2016,Nissan,370Z Roadster,0,8.928017847
2016,Nissan,370Z Roadster,0,8.50287414
2016,BMW,640i Convertible,0,9.778305261
2016,BMW,640i xDrive Coupe,0,9.778305261
2016,BMW,640i xDrive Convertible,0,9.778305261
2016,BMW,650i xDrive Coupe,0,8.077730433
2016,BMW,650i xDrive Convertible,0,7.652586726
2016,BMW,M6 Coupe,0,7.227443019
2016,BMW,M6 Coupe,0,6.802299312
2016,BMW,M6 Convertible,0,7.227443019
2016,BMW,M6 Convertible,0,6.802299312
2016,BMW,640i Gran Coupe,0,9.778305261
2016,BMW,640i xDrive Gran Coupe,0,9.778305261
2016,BMW,650i xDrive Gran Coupe,0,7.652586726
2016,BMW,Alpina B6 Gran Coupe xDrive,0,7.652586726
2016,BMW,M6 Gran Coupe,0,7.227443019
